ZTime,Time,OAT,DT,SLP,WD,WS,SKY,PPT,PPT6,Plsr.Event,Plsr.Source
20170820040000,20170820000000,178,172,10171,0,0,0,0,-9999,,
20170820050000,20170820010000,178,172,10177,0,0,0,0,-9999,,
20170820060000,20170820020000,167,161,10181,0,0,0,0,-9999,,
20170820070000,20170820030000,161,161,10182,0,0,4,0,-9999,,
20170820080000,20170820040000,156,156,10186,180,15,-9999,0,-9999,,
20170820090000,20170820050000,161,161,10192,0,0,9,0,-9999,,
20170820100000,20170820060000,156,156,10196,0,0,9,0,-9999,,
20170820110000,20170820070000,150,150,-9999,0,0,-9999,0,-9999,,
20170820120000,20170820080000,156,156,10206,0,0,9,0,-9999,,
20170820130000,20170820090000,167,167,10211,0,0,-9999,0,-9999,,
20170820140000,20170820100000,178,178,10213,130,15,4,0,-9999,,
20170820150000,20170820110000,217,183,10219,110,15,2,0,-9999,,
20170820160000,20170820120000,233,161,10216,140,31,2,0,-9999,,
20170820170000,20170820130000,250,161,10213,150,26,0,0,-9999,,
20170820180000,20170820140000,261,161,10213,150,31,2,0,-9999,,
20170820190000,20170820150000,267,144,10210,0,0,2,0,-9999,,
20170820200000,20170820160000,278,144,10204,190,21,2,0,-9999,,
20170820210000,20170820170000,278,139,10203,200,26,2,0,-9999,,
20170820220000,20170820180000,278,150,10199,200,26,2,0,-9999,,
20170820230000,20170820190000,272,156,10200,0,0,4,0,-9999,,
20170821000000,20170820200000,261,172,10204,140,21,-9999,0,-9999,,
20170821010000,20170820210000,250,178,10209,0,0,4,0,-9999,,
20170821020000,20170820220000,233,183,10216,0,0,2,0,-9999,,
20170821030000,20170820230000,217,189,10216,170,15,4,0,-9999,,
20170821040000,20170821000000,228,172,10213,0,0,-9999,0,-9999,,
20170821050000,20170821010000,217,178,10214,140,15,-9999,0,-9999,,
20170821060000,20170821020000,211,178,10212,0,0,6,0,-9999,,
20170821070000,20170821030000,200,178,10211,0,0,4,0,-9999,,
20170821080000,20170821040000,200,172,10211,0,0,4,0,-9999,,
20170821090000,20170821050000,194,172,10212,0,0,4,0,-9999,,
20170821100000,20170821060000,189,172,10213,0,0,4,0,-9999,,
